IPA,OLD_IPA_key,consonantal,voice,sibilant,lateral,geminate,place_articulation,place_value,articulation_manner,consonantality_value,IPA_key
ʡʡ͡ʜ,,True,False,False,False,True,H,-5.0,PP͡F,3.75,79.0
ʡʡ͡ʢ,,True,True,False,False,True,H,-5.0,PP͡F,3.75,80.0
ʔʔ͡h,,True,False,False,False,True,H,-6.0,PP͡F,3.75,81.0
tt͡ɬ,,True,False,False,True,True,D,0.5,PP͡F,3.75,82.0
dd͡ɮ,,True,True,False,True,True,D,0.5,PP͡F,3.75,83.0
ʈʈ͡ꞎ,,True,False,False,True,True,Ɉ,-1.25,PP͡F,3.75,84.0
ɖɖ͡𝼅,,True,True,False,True,True,Ɉ,-1.25,PP͡F,3.75,85.0
cc͡𝼆,,True,False,False,True,True,Ɉ,-2.0,PP͡F,3.75,86.0
ɟɟ͡ʎ̝,,True,True,False,True,True,Ɉ,-2.0,PP͡F,3.75,87.0
kk͡𝼄,,True,False,False,True,True,K,-3.0,PP͡F,3.75,88.0
ɡɡ͡ʟ̝,,True,True,False,True,True,K,-3.0,PP͡F,3.75,89.0
p͡ɸ,,True,False,False,False,False,B,3.0,P͡F,3.0,90.0
b͡β,,True,True,False,False,False,B,3.0,P͡F,3.0,91.0
p͡f,,True,False,False,False,False,B,2.5,P͡F,3.0,92.0
b͡v,,True,True,False,False,False,B,2.5,P͡F,3.0,93.0
t͡θ,22.0,True,False,False,False,False,D,2.0,P͡F,3.0,94.0
d͡ð,23.0,True,True,False,False,False,D,2.0,P͡F,3.0,95.0
t͡s̟,24.0,True,False,True,False,False,D,1.666666667,P͡F,3.0,96.0
d͡z̟,25.0,True,True,True,False,False,D,1.666666667,P͡F,3.0,97.0
t͡s̪,26.0,True,False,True,False,False,D,1.333333333,P͡F,3.0,98.0
d͡z̪,27.0,True,True,True,False,False,D,1.333333333,P͡F,3.0,99.0
t͡s,28.0,True,False,True,False,False,D,1.0,P͡F,3.0,100.0
d͡z,29.0,True,True,True,False,False,D,1.0,P͡F,3.0,101.0
t͡ɹ̝̊,,True,False,False,False,False,D,1.0,P͡F,3.0,102.0
d͡ɹ̝,,True,True,False,False,False,D,1.0,P͡F,3.0,103.0
t͡s̠,30.0,True,False,True,False,False,D,0.5,P͡F,3.0,104.0
d͡z̠,31.0,True,True,True,False,False,D,0.5,P͡F,3.0,105.0
