key,IPA,Consonantal?,Voiced?,Sibilant?,Lateral?,Geminate?,"Place of
articulation","Place
value","Manner of
articulation","Consonantality
value",,,,,,
81,ʔʔ͡h,+,−,−,−,+,H,-6,PP͡F,3.75,,,,,,
82,tt͡ɬ,+,−,−,+,+,D,0.5,PP͡F,3.75,,,,,,
83,dd͡ɮ,+,+,−,+,+,D,0.5,PP͡F,3.75,,,,,,
84,ʈʈ͡ꞎ,+,−,−,+,+,Ɉ,-1.25,PP͡F,3.75,,,,,,
85,ɖɖ͡𝼅,+,+,−,+,+,Ɉ,-1.25,PP͡F,3.75,,,,,,
86,cc͡𝼆,+,−,−,+,+,Ɉ,-2,PP͡F,3.75,,,,,,
87,ɟɟ͡ʎ̝,+,+,−,+,+,Ɉ,-2,PP͡F,3.75,,,,,,
88,kk͡𝼄,+,−,−,+,+,K,-3,PP͡F,3.75,,,,,,
89,ɡɡ͡ʟ̝,+,+,−,+,+,K,-3,PP͡F,3.75,,,,,,
90,p͡ɸ,+,−,−,−,−,B,3,P͡F,3,,,,,,
91,b͡β,+,+,−,−,−,B,3,P͡F,3,,,,,,
92,p͡f,+,−,−,−,−,B,2.5,P͡F,3,,,,,,
93,b͡v,+,+,−,−,−,B,2.5,P͡F,3,,,,,,
94,t͡θ,+,−,−,−,−,D,2,P͡F,3,,,,,,
95,d͡ð,+,+,−,−,−,D,2,P͡F,3,,,,,,
96,t͡s̟,+,−,+,−,−,D,1.666666667,P͡F,3,,,,,,
97,d͡z̟,+,+,+,−,−,D,1.666666667,P͡F,3,,,,,,
98,t͡s̪,+,−,+,−,−,D,1.333333333,P͡F,3,,,,,,
99,d͡z̪,+,+,+,−,−,D,1.333333333,P͡F,3,,,,,,
100,t͡s,+,−,+,−,−,D,1,P͡F,3,,,,,,
101,d͡z,+,+,+,−,−,D,1,P͡F,3,,,,,,
102,t͡ɹ̝̊,+,−,−,−,−,D,1,P͡F,3,,,,,,
103,d͡ɹ̝,+,+,−,−,−,D,1,P͡F,3,,,,,,
