,treatment,environment,Languages,Consonantal +/−,Grapheme,IPA,IPA key,Lateral +/−,Manner of articulation,Place of articulation,Place value,Sibilant +/−,Sonority value,Voice +/−,version
16,C-,"#_{o,ŭ}",FUR,,,,,,,,,,,,1.0
17,C-,"#_{o,ŭ}",LOG SRD,+,c,k,19,−,P,K,-3,−,4,−,1.0
18,C-,"#_{o,ŭ}",CPN SRD,+,c,k,19,−,P,K,-3,−,4,−,1.0
19,C-,"#_{o,ŭ}",COR,+,c,k,19,−,P,K,-3,−,4,−,1.0
20,C-,"#_{o,ŭ}",ITA,+,c,k,19,−,P,K,-3,−,4,−,1.0
21,C-,"#_{o,ŭ}",ABR,+,c,k,19,−,P,K,-3,−,4,−,1.0
22,C-,"#_{o,ŭ}",CAM,+,c,k,19,−,P,K,-3,−,4,−,1.0
23,C-,"#_{o,ŭ}",PGL,+,c,k,19,−,P,K,-3,−,4,−,1.0
24,C-,"#_{o,ŭ}",SCN,+,c,k,19,−,P,K,-3,−,4,−,1.0
25,C-,"#_{o,ŭ}",VEN,+,c,k,19,−,P,K,-3,−,4,−,1.0
26,C-,"#_{o,ŭ}",ARO,+,c,k,19,−,P,K,-3,−,4,−,1.0
27,C-,"#_{o,ŭ}",ROM,+,c,k,19,−,P,K,-3,−,4,−,1.0
29,C-,"#_{o,ŭ}",ITA,+,g,ɡ,20,−,P,K,-3,−,4,+,2.0
30,C-,"#_{o,ŭ}",GAL,+,c,k,19,−,P,K,-3,−,4,−,1.0
31,C-,"#_{o,ŭ}",ASL,+,c,k,19,−,P,K,-3,−,4,−,1.0
32,C-,"#_{o,ŭ}",CAS ESP,+,c,k,19,−,P,K,-3,−,4,−,1.0
33,C-,"#_{o,ŭ}",AND ESP,+,c,k,19,−,P,K,-3,−,4,−,1.0
34,C-,"#_{o,ŭ}",ARG,+,c,k,19,−,P,K,-3,−,4,−,1.0
0,C-,#_ū,BR POR,+,c,k,19,−,P,K,-3,−,4,−,1.0
1,C-,#_ū,AMR ESP,+,c,k,19,−,P,K,-3,−,4,−,1.0
2,C-,#_ū,LAT,+,C,k,19,−,P,K,-3,−,4,−,1.0
3,C-,#_ū,CAT,+,c,k,19,−,P,K,-3,−,4,−,1.0
4,C-,#_ū,VAL,+,c,k,19,−,P,K,-3,−,4,−,1.0
5,C-,#_ū,BAL,+,c,k,19,−,P,K,-3,−,4,−,1.0
6,C-,#_ū,OCC,+,c,k,19,−,P,K,-3,−,4,−,1.0
7,C-,#_ū,GAS OCC,+,c,k,19,−,P,K,-3,−,4,−,1.0
8,C-,#_ū,EU FRA,+,c,k,19,−,P,K,-3,−,4,−,1.0
9,C-,#_ū,QBC FRA,+,c,k,19,−,P,K,-3,−,4,−,1.0
10,C-,#_ū,WAL,+,c,k,19,−,P,K,-3,−,4,−,1.0
11,C-,#_ū,ARP,+,c,k,19,−,P,K,-3,−,4,−,1.0
12,C-,#_ū,LIG,+,c,k,19,−,P,K,-3,−,4,−,1.0
13,C-,#_ū,EU POR,+,c,k,19,−,P,K,-3,−,4,−,1.0
14,C-,#_ū,LMO,+,c,k,19,−,P,K,-3,−,4,−,1.0
15,C-,#_ū,RMH,,,,,,,,,,,,1.0
16,C-,#_ū,FUR,,,,,,,,,,,,1.0
17,C-,#_ū,LOG SRD,+,c,k,19,−,P,K,-3,−,4,−,1.0
18,C-,#_ū,CPN SRD,+,c,k,19,−,P,K,-3,−,4,−,1.0
19,C-,#_ū,COR,+,c,k,19,−,P,K,-3,−,4,−,1.0
20,C-,#_ū,ITA,+,c,k,19,−,P,K,-3,−,4,−,1.0
21,C-,#_ū,ABR,+,c,k,19,−,P,K,-3,−,4,−,1.0
22,C-,#_ū,CAM,+,c,k,19,−,P,K,-3,−,4,−,1.0
23,C-,#_ū,PGL,+,c,k,19,−,P,K,-3,−,4,−,1.0
24,C-,#_ū,SCN,+,c,k,19,−,P,K,-3,−,4,−,1.0
25,C-,#_ū,VEN,+,c,k,19,−,P,K,-3,−,4,−,1.0
26,C-,#_ū,ARO,+,c,k,19,−,P,K,-3,−,4,−,1.0
27,C-,#_ū,ROM,+,c,k,19,−,P,K,-3,−,4,−,1.0
28,C-,#_ū,GAL,+,c,k,19,−,P,K,-3,−,4,−,1.0
29,C-,#_ū,ASL,+,c,k,19,−,P,K,-3,−,4,−,1.0
30,C-,#_ū,CAS ESP,+,c,k,19,−,P,K,-3,−,4,−,1.0
31,C-,#_ū,AND ESP,+,c,k,19,−,P,K,-3,−,4,−,1.0
32,C-,#_ū,ARG,+,c,k,19,−,P,K,-3,−,4,−,1.0
0,G-,ˈ#_E,BR POR,+,g,ʒ,57,−,F,Ɉ,-0.5,+,2,+,1.0
1,G-,ˈ#_E,AMR ESP,+,y,ɟ͡ʝ,39,−,P͡F,Ɉ,-2,−,3,+,1.0
2,G-,ˈ#_E,LAT,+,G,ɡ,20,−,P,K,-3,−,4,+,1.0
3,G-,ˈ#_E,CAT,+,g,ʒ,57,−,F,Ɉ,-0.5,+,2,+,1.0
4,G-,ˈ#_E,VAL,+,g,d̠͡ʒ,35,−,P͡F,Ɉ,-0.5,+,3,+,1.0
5,G-,ˈ#_E,BAL,+,g,ʒ,57,−,F,Ɉ,-0.5,+,2,+,1.0
6,G-,ˈ#_E,OCC,+,g,d̠͡ʒ,35,−,P͡F,Ɉ,-0.5,+,3,+,1.0
7,G-,ˈ#_E,GAS OCC,+,g,ʒ,57,−,F,Ɉ,-0.5,+,2,+,1.0
8,G-,ˈ#_E,EU FRA,+,g,ʒ,57,−,F,Ɉ,-0.5,+,2,+,1.0
9,G-,ˈ#_E,QBC FRA,+,g,ʒ,57,−,F,Ɉ,-0.5,+,2,+,1.0
10,G-,ˈ#_E,WAL,+,dj,d̠͡ʒ,35,−,P͡F,Ɉ,-0.5,+,3,+,1.0
11,G-,ˈ#_E,ARP,+,g,d͡z~ð,107,−,P͡F~F,D,1.5,+/−,2.5,+,1.0
12,G-,ˈ#_E,LIG,+,z,z̠ (d͡z̠),111,−,F (P͡F),D,0.5,+,2.3333333333333335,+,1.0
13,G-,ˈ#_E,EU POR,+,g,ʒ,57,−,F,Ɉ,-0.5,+,2,+,1.0
14,G-,ˈ#_E,LMO,+,sg,d̠͡ʒ~z̠,108,−,P͡F~F,Ɉ~D,0,+,2.5,+,1.0
15,G-,ˈ#_E,RMH,,sch,,,,,,,,,,1.0
16,G-,ˈ#_E,FUR,,z,,,,,,,,,,1.0
17,G-,ˈ#_E,LOG SRD,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
18,G-,ˈ#_E,CPN SRD,+,g,d̠͡ʒ,35,−,P͡F,Ɉ,-0.5,+,3,+,1.0
19,G-,ˈ#_E,COR,,ghj,,,,,,,,,,1.0
20,G-,ˈ#_E,ITA,+,g,d̠͡ʒ,35,−,P͡F,Ɉ,-0.5,+,3,+,1.0
21,G-,ˈ#_E,ABR,,,,,,,,,,,,1.0
22,G-,ˈ#_E,CAM,+,j,j,98,−,W,Ɉ,-2,−,0.3333333333333333,+,1.0
23,G-,ˈ#_E,PGL,,,,,,,,,,,,1.0
24,G-,ˈ#_E,SCN,+,j,j,98,−,W,Ɉ,-2,−,0.3333333333333333,+,1.0
25,G-,ˈ#_E,VEN,+,z/dh,z̠~ð,109,−,F,D,1.25,+/−,2,−,1.0
26,G-,ˈ#_E,ARO,+,dz,d͡z̪,27,−,P͡F,D,1.3333333333333333,+,3,+,1.0
27,G-,ˈ#_E,ROM,+,g,d̠͡ʒ,35,−,P͡F,Ɉ,-0.5,+,3,+,1.0
28,G-,ˈ#_E,GAL,+,x,ʃ,56,−,F,Ɉ,-0.5,+,2,−,1.0
29,G-,ˈ#_E,ASL,+,x,ʃ,56,−,F,Ɉ,-0.5,+,2,−,1.0
30,G-,ˈ#_E,CAS ESP,+,y,ɟ͡ʝ,39,−,P͡F,Ɉ,-2,−,3,+,1.0
31,G-,ˈ#_E,AND ESP,+,y,ɟ͡ʝ,39,−,P͡F,Ɉ,-2,−,3,+,1.0
32,G-,ˈ#_E,ARG,+,ch,t̠͡ʃ,34,−,P͡F,Ɉ,-0.5,+,3,−,1.0
0,G-,#_E.ˈ,BR POR,+,g,ʒ,57,−,F,Ɉ,-0.5,+,2,+,1.0
1,G-,#_E.ˈ,AMR ESP,−,h/∅,∅,∅,−,∅,Ɉ,-0.5,−,0,−,1.0
2,G-,#_E.ˈ,LAT,+,G,ɡ,20,−,P,K,-3,−,4,+,1.0
3,G-,#_E.ˈ,CAT,+,g,ʒ,57,−,F,Ɉ,-0.5,+,2,+,1.0
4,G-,#_E.ˈ,VAL,+,g,d̠͡ʒ,35,−,P͡F,Ɉ,-0.5,+,3,+,1.0
5,G-,#_E.ˈ,BAL,+,g,ʒ,57,−,F,Ɉ,-0.5,+,2,+,1.0
6,G-,#_E.ˈ,OCC,+,g,d̠͡ʒ,35,−,P͡F,Ɉ,-0.5,+,3,+,1.0
7,G-,#_E.ˈ,GAS OCC,+,g,ʒ,57,−,F,Ɉ,-0.5,+,2,+,1.0
8,G-,#_E.ˈ,EU FRA,+,g,ʒ,57,−,F,Ɉ,-0.5,+,2,+,1.0
9,G-,#_E.ˈ,QBC FRA,+,g,ʒ,57,−,F,Ɉ,-0.5,+,2,+,1.0
10,G-,#_E.ˈ,WAL,+,dj,d̠͡ʒ,35,−,P͡F,Ɉ,-0.5,+,3,+,1.0
11,G-,#_E.ˈ,ARP,+,g,d͡z~ð,107,−,P͡F~F,D,1.5,+/−,2.5,+,1.0
12,G-,#_E.ˈ,LIG,+,z,z̠ (d͡z̠),111,−,F (P͡F),D,0.5,+,2.3333333333333335,+,1.0
13,G-,#_E.ˈ,EU POR,+,g,ʒ,57,−,F,Ɉ,-0.5,+,2,+,1.0
14,G-,#_E.ˈ,LMO,+,sg,d̠͡ʒ~z̠,108,−,P͡F~F,Ɉ~D,0,+,2.5,+,1.0
15,G-,#_E.ˈ,RMH,,sch,,,,,,,,,,1.0
16,G-,#_E.ˈ,FUR,,z,,,,,,,,,,1.0
17,G-,#_E.ˈ,LOG SRD,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
18,G-,#_E.ˈ,CPN SRD,+,g,d̠͡ʒ,35,−,P͡F,Ɉ,-0.5,+,3,+,1.0
19,G-,#_E.ˈ,COR,,ghj,,,,,,,,,,1.0
20,G-,#_E.ˈ,ITA,+,g,d̠͡ʒ,35,−,P͡F,Ɉ,-0.5,+,3,+,1.0
21,G-,#_E.ˈ,ABR,,,,,,,,,,,,1.0
22,G-,#_E.ˈ,CAM,+,j,j,98,−,W,Ɉ,-2,−,0.3333333333333333,+,1.0
23,G-,#_E.ˈ,PGL,,,,,,,,,,,,1.0
24,G-,#_E.ˈ,SCN,+,j,j,98,−,W,Ɉ,-2,−,0.3333333333333333,+,1.0
25,G-,#_E.ˈ,VEN,+,z/dh,z̠~ð,109,−,F,D,1.25,+/−,2,−,1.0
26,G-,#_E.ˈ,ARO,+,dz,d͡z̪,27,−,P͡F,D,1.3333333333333333,+,3,+,1.0
27,G-,#_E.ˈ,ROM,+,g,d̠͡ʒ,35,−,P͡F,Ɉ,-0.5,+,3,+,1.0
28,G-,#_E.ˈ,GAL,+,x,ʃ,56,−,F,Ɉ,-0.5,+,2,−,1.0
29,G-,#_E.ˈ,ASL,+,x,ʃ,56,−,F,Ɉ,-0.5,+,2,−,1.0
30,G-,#_E.ˈ,CAS ESP,−,h/∅,∅,∅,−,∅,Ɉ,-0.5,−,0,−,1.0
31,G-,#_E.ˈ,AND ESP,−,h/∅,∅,∅,−,∅,Ɉ,-0.5,−,0,−,1.0
32,G-,#_E.ˈ,ARG,+,ch,t̠͡ʃ,34,−,P͡F,Ɉ,-0.5,+,3,−,1.0
0,G-,#_a,BR POR,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
1,G-,#_a,AMR ESP,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
2,G-,#_a,LAT,+,G,ɡ,20,−,P,K,-3,−,4,+,1.0
3,G-,#_a,CAT,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
4,G-,#_a,VAL,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
5,G-,#_a,BAL,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
6,G-,#_a,OCC,+,g (j),ɡ (d͡z),110,−,P (P͡F),K (Ɉ),2.3333333333333335,−/+,3.6666666666666665,+,1.0
7,G-,#_a,GAS OCC,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
8,G-,#_a,EU FRA,+,j/g,ʒ,57,−,F,Ɉ,-0.5,+,2,+,1.0
9,G-,#_a,QBC FRA,+,j/g,ʒ,57,−,F,Ɉ,-0.5,+,2,+,1.0
10,G-,#_a,WAL,+,dj,d̠͡ʒ,35,−,P͡F,Ɉ,-0.5,+,3,+,1.0
11,G-,#_a,ARP,+,j,d͡z~ð,107,−,P͡F~F,D,1.5,+/−,2.5,+,1.0
12,G-,#_a,LIG,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
13,G-,#_a,EU POR,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
14,G-,#_a,LMO,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
15,G-,#_a,RMH,,,,,,,,,,,,1.0
16,G-,#_a,FUR,,gj,,,,,,,,,,1.0
17,G-,#_a,LOG SRD,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
18,G-,#_a,CPN SRD,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
19,G-,#_a,COR,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
20,G-,#_a,ITA,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
21,G-,#_a,ABR,,,,,,,,,,,,1.0
22,G-,#_a,CAM,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
23,G-,#_a,PGL,,,,,,,,,,,,1.0
24,G-,#_a,SCN,+,g/j,ɡ~j,112,−,P~W,K~Ɉ,-2.5,−,2.1666666666666665,+,1.0
25,G-,#_a,VEN,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
26,G-,#_a,ARO,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
27,G-,#_a,ROM,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
28,G-,#_a,GAL,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
29,G-,#_a,ASL,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
30,G-,#_a,CAS ESP,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
31,G-,#_a,AND ESP,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
32,G-,#_a,ARG,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
0,G-,#_O,BR POR,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
1,G-,#_O,AMR ESP,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
2,G-,#_O,LAT,+,G,ɡ,20,−,P,K,-3,−,4,+,1.0
3,G-,#_O,CAT,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
4,G-,#_O,VAL,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
5,G-,#_O,BAL,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
6,G-,#_O,OCC,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
7,G-,#_O,GAS OCC,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
8,G-,#_O,EU FRA,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
9,G-,#_O,QBC FRA,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
10,G-,#_O,WAL,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
11,G-,#_O,ARP,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
12,G-,#_O,LIG,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
13,G-,#_O,EU POR,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
14,G-,#_O,LMO,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
15,G-,#_O,RMH,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
16,G-,#_O,FUR,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
17,G-,#_O,LOG SRD,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
18,G-,#_O,CPN SRD,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
19,G-,#_O,COR,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
20,G-,#_O,ITA,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
21,G-,#_O,ABR,,,,,,,,,,,,1.0
22,G-,#_O,CAM,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
23,G-,#_O,PGL,,,,,,,,,,,,1.0
24,G-,#_O,SCN,+,g/j,ɡ~j,112,−,P~W,K~Ɉ,-2.5,−,2.1666666666666665,+,1.0
25,G-,#_O,VEN,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
26,G-,#_O,ARO,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
27,G-,#_O,ROM,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
28,G-,#_O,GAL,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
29,G-,#_O,ASL,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
30,G-,#_O,CAS ESP,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
31,G-,#_O,AND ESP,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
32,G-,#_O,ARG,+,g,ɡ,20,−,P,K,-3,−,4,+,1.0
0,N-,#_E,BR POR,+,n,n,73,−,N,D,1,−,1.5,+,1.0
1,N-,#_E,AMR ESP,+,n,n,73,−,N,D,1,−,1.5,+,1.0
2,N-,#_E,LAT,+,N,n,73,−,N,D,1,−,1.5,+,1.0
3,N-,#_E,CAT,+,n,n,73,−,N,D,1,−,1.5,+,1.0
4,N-,#_E,VAL,+,n,n,73,−,N,D,1,−,1.5,+,1.0
5,N-,#_E,BAL,+,n,n,73,−,N,D,1,−,1.5,+,1.0
6,N-,#_E,OCC,+,n,n,73,−,N,D,1,−,1.5,+,1.0
7,N-,#_E,GAS OCC,+,n,n,73,−,N,D,1,−,1.5,+,1.0
8,N-,#_E,EU FRA,+,n,n,73,−,N,D,1,−,1.5,+,1.0
9,N-,#_E,QBC FRA,+,n,n,73,−,N,D,1,−,1.5,+,1.0
10,N-,#_E,WAL,+,n,n,73,−,N,D,1,−,1.5,+,1.0
11,N-,#_E,ARP,+,n,n,73,−,N,D,1,−,1.5,+,1.0
12,N-,#_E,LIG,+,n,n,73,−,N,D,1,−,1.5,+,1.0
13,N-,#_E,EU POR,+,n,n,73,−,N,D,1,−,1.5,+,1.0
14,N-,#_E,LMO,+,n,n,73,−,N,D,1,−,1.5,+,1.0
15,N-,#_E,RMH,,,,,,,,,,,,1.0
16,N-,#_E,FUR,+,n,n,73,−,N,D,1,−,1.5,+,1.0
17,N-,#_E,LOG SRD,+,n,n,73,−,N,D,1,−,1.5,+,1.0
18,N-,#_E,CPN SRD,+,n,n,73,−,N,D,1,−,1.5,+,1.0
19,N-,#_E,COR,,,,,,,,,,,,1.0
20,N-,#_E,ITA,+,n,n,73,−,N,D,1,−,1.5,+,1.0
21,N-,#_E,ABR,,,,,,,,,,,,1.0
22,N-,#_E,CAM,+,n,n,73,−,N,D,1,−,1.5,+,1.0
23,N-,#_E,PGL,,,,,,,,,,,,1.0
24,N-,#_E,SCN,+,n,n,73,−,N,D,1,−,1.5,+,1.0
25,N-,#_E,VEN,+,n,n,73,−,N,D,1,−,1.5,+,1.0
26,N-,#_E,ARO,+,n,n,73,−,N,D,1,−,1.5,+,1.0
27,N-,#_E,ROM,+,n,n,73,−,N,D,1,−,1.5,+,1.0
28,N-,#_E,GAL,+,n,n,73,−,N,D,1,−,1.5,+,1.0
29,N-,#_E,ASL,+,n/ñ,n~ɲ,113,−,N,D~Ɉ,-0.5,−,1.5,+,1.0
30,N-,#_E,CAS ESP,+,n,n,73,−,N,D,1,−,1.5,+,1.0
31,N-,#_E,AND ESP,+,n,n,73,−,N,D,1,−,1.5,+,1.0
32,N-,#_E,ARG,+,n,n,73,−,N,D,1,−,1.5,+,1.0
0,N-,"#_{a,O}",BR POR,+,n,n,73,−,N,D,1,−,1.5,+,1.0
1,N-,"#_{a,O}",AMR ESP,+,n,n,73,−,N,D,1,−,1.5,+,1.0
2,N-,"#_{a,O}",LAT,+,N,n,73,−,N,D,1,−,1.5,+,1.0
3,N-,"#_{a,O}",CAT,+,n,n,73,−,N,D,1,−,1.5,+,1.0
4,N-,"#_{a,O}",VAL,+,n,n,73,−,N,D,1,−,1.5,+,1.0
5,N-,"#_{a,O}",BAL,+,n,n,73,−,N,D,1,−,1.5,+,1.0
6,N-,"#_{a,O}",OCC,+,n,n,73,−,N,D,1,−,1.5,+,1.0
7,N-,"#_{a,O}",GAS OCC,+,n,n,73,−,N,D,1,−,1.5,+,1.0
8,N-,"#_{a,O}",EU FRA,+,n,n,73,−,N,D,1,−,1.5,+,1.0
9,N-,"#_{a,O}",QBC FRA,+,n,n,73,−,N,D,1,−,1.5,+,1.0
10,N-,"#_{a,O}",WAL,+,n,n,73,−,N,D,1,−,1.5,+,1.0
11,N-,"#_{a,O}",ARP,+,n,n,73,−,N,D,1,−,1.5,+,1.0
12,N-,"#_{a,O}",LIG,+,n,n,73,−,N,D,1,−,1.5,+,1.0
13,N-,"#_{a,O}",EU POR,+,n,n,73,−,N,D,1,−,1.5,+,1.0
14,N-,"#_{a,O}",LMO,+,n,n,73,−,N,D,1,−,1.5,+,1.0
15,N-,"#_{a,O}",RMH,,,,,,,,,,,,1.0
16,N-,"#_{a,O}",FUR,+,n,n,73,−,N,D,1,−,1.5,+,1.0
17,N-,"#_{a,O}",LOG SRD,+,n,n,73,−,N,D,1,−,1.5,+,1.0
18,N-,"#_{a,O}",CPN SRD,+,n,n,73,−,N,D,1,−,1.5,+,1.0
19,N-,"#_{a,O}",COR,,,,,,,,,,,,1.0
20,N-,"#_{a,O}",ITA,+,n,n,73,−,N,D,1,−,1.5,+,1.0
21,N-,"#_{a,O}",ABR,,,,,,,,,,,,1.0
22,N-,"#_{a,O}",CAM,+,n,n,73,−,N,D,1,−,1.5,+,1.0
23,N-,"#_{a,O}",PGL,,,,,,,,,,,,1.0
24,N-,"#_{a,O}",SCN,+,n,n,73,−,N,D,1,−,1.5,+,1.0
25,N-,"#_{a,O}",VEN,+,n,n,73,−,N,D,1,−,1.5,+,1.0
26,N-,"#_{a,O}",ARO,+,n,n,73,−,N,D,1,−,1.5,+,1.0
27,N-,"#_{a,O}",ROM,+,n,n,73,−,N,D,1,−,1.5,+,1.0
28,N-,"#_{a,O}",GAL,+,n,n,73,−,N,D,1,−,1.5,+,1.0
29,N-,"#_{a,O}",ASL,+,n/ñ,n~ɲ,113,−,N,D~Ɉ,-0.5,−,1.5,+,1.0
30,N-,"#_{a,O}",CAS ESP,+,n,n,73,−,N,D,1,−,1.5,+,1.0
31,N-,"#_{a,O}",AND ESP,+,n,n,73,−,N,D,1,−,1.5,+,1.0
32,N-,"#_{a,O}",ARG,+,n,n,73,−,N,D,1,−,1.5,+,1.0
0,M-,#_,BR POR,+,m,m,70,−,N,B,3,−,1.5,+,1.0
1,M-,#_,AMR ESP,+,m,m,70,−,N,B,3,−,1.5,+,1.0
2,M-,#_,LAT,+,M,m,70,−,N,B,3,−,1.5,+,1.0
3,M-,#_,CAT,+,m,m,70,−,N,B,3,−,1.5,+,1.0
4,M-,#_,VAL,+,m,m,70,−,N,B,3,−,1.5,+,1.0
5,M-,#_,BAL,+,m,m,70,−,N,B,3,−,1.5,+,1.0
6,M-,#_,OCC,+,m,m,70,−,N,B,3,−,1.5,+,1.0
7,M-,#_,GAS OCC,+,m,m,70,−,N,B,3,−,1.5,+,1.0
8,M-,#_,EU FRA,+,m,m,70,−,N,B,3,−,1.5,+,1.0
9,M-,#_,QBC FRA,+,m,m,70,−,N,B,3,−,1.5,+,1.0
10,M-,#_,WAL,+,m,m,70,−,N,B,3,−,1.5,+,1.0
11,M-,#_,ARP,+,m,m,70,−,N,B,3,−,1.5,+,1.0
12,M-,#_,LIG,+,m,m,70,−,N,B,3,−,1.5,+,1.0
13,M-,#_,EU POR,+,m,m,70,−,N,B,3,−,1.5,+,1.0
14,M-,#_,LMO,+,m,m,70,−,N,B,3,−,1.5,+,1.0
15,M-,#_,RMH,,,,,,,,,,,,1.0
16,M-,#_,FUR,+,m,m,70,−,N,B,3,−,1.5,+,1.0
17,M-,#_,LOG SRD,+,m,m,70,−,N,B,3,−,1.5,+,1.0
18,M-,#_,CPN SRD,+,m,m,70,−,N,B,3,−,1.5,+,1.0
19,M-,#_,COR,,,,,,,,,,,,1.0
20,M-,#_,ITA,+,m,m,70,−,N,B,3,−,1.5,+,1.0
21,M-,#_,ABR,,,,,,,,,,,,1.0
22,M-,#_,CAM,+,m,m,70,−,N,B,3,−,1.5,+,1.0
23,M-,#_,PGL,,,,,,,,,,,,1.0
24,M-,#_,SCN,+,m,m,70,−,N,B,3,−,1.5,+,1.0
25,M-,#_,VEN,+,m,m,70,−,N,B,3,−,1.5,+,1.0
26,M-,#_,ARO,+,m,m,70,−,N,B,3,−,1.5,+,1.0
27,M-,#_,ROM,+,m,m,70,−,N,B,3,−,1.5,+,1.0
28,M-,#_,GAL,+,m,m,70,−,N,B,3,−,1.5,+,1.0
29,M-,#_,ASL,+,m,m,70,−,N,B,3,−,1.5,+,1.0
30,M-,#_,CAS ESP,+,m,m,70,−,N,B,3,−,1.5,+,1.0
31,M-,#_,AND ESP,+,m,m,70,−,N,B,3,−,1.5,+,1.0
32,M-,#_,ARG,+,m,m,70,−,N,B,3,−,1.5,+,1.0
0,F-,"ˈ#_{ĕ,ŏ}",BR POR,+,f,f,42,−,F,B,2.5,−,2,−,1.0
1,F-,"ˈ#_{ĕ,ŏ}",AMR ESP,+,f,ɸ~f,114,−,F,B,2.75,−,2,−,1.0
2,F-,"ˈ#_{ĕ,ŏ}",LAT,+,F,ɸ~f,114,−,F,B,2.75,−,2,−,1.0
3,F-,"ˈ#_{ĕ,ŏ}",CAT,+,f,f,42,−,F,B,2.5,−,2,−,1.0
4,F-,"ˈ#_{ĕ,ŏ}",VAL,+,f,f,42,−,F,B,2.5,−,2,−,1.0
5,F-,"ˈ#_{ĕ,ŏ}",BAL,+,f,f,42,−,F,B,2.5,−,2,−,1.0
6,F-,"ˈ#_{ĕ,ŏ}",OCC,+,f,f,42,−,F,B,2.5,−,2,−,1.0
7,F-,"ˈ#_{ĕ,ŏ}",GAS OCC,+,f,f,42,−,F,B,2.5,−,2,−,1.0
8,F-,"ˈ#_{ĕ,ŏ}",EU FRA,+,f,f,42,−,F,B,2.5,−,2,−,1.0
9,F-,"ˈ#_{ĕ,ŏ}",QBC FRA,+,f,f,42,−,F,B,2.5,−,2,−,1.0
10,F-,"ˈ#_{ĕ,ŏ}",WAL,+,f,f,42,−,F,B,2.5,−,2,−,1.0
11,F-,"ˈ#_{ĕ,ŏ}",ARP,+,f,f,42,−,F,B,2.5,−,2,−,1.0
12,F-,"ˈ#_{ĕ,ŏ}",LIG,+,f,f,42,−,F,B,2.5,−,2,−,1.0
13,F-,"ˈ#_{ĕ,ŏ}",EU POR,+,f,f,42,−,F,B,2.5,−,2,−,1.0
14,F-,"ˈ#_{ĕ,ŏ}",LMO,+,f,f,42,−,F,B,2.5,−,2,−,1.0
15,F-,"ˈ#_{ĕ,ŏ}",RMH,,,,,,,,,,,,1.0
16,F-,"ˈ#_{ĕ,ŏ}",FUR,+,f,f,42,−,F,B,2.5,−,2,−,1.0
17,F-,"ˈ#_{ĕ,ŏ}",LOG SRD,+,f,f,42,−,F,B,2.5,−,2,−,1.0
