,treatment,environment,Languages,Consonantal +/−,Grapheme,IPA,IPA key,Lateral +/−,Manner of articulation,Place of articulation,Place value,Sibilant +/−,Sonority value,Voice +/−,version
8,T-,#_E,EU FRA,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
9,T-,#_E,QBC FRA,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
10,T-,#_E,WAL,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
11,T-,#_E,ARP,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
12,T-,#_E,LIG,,t,,,,,,,,,,1.0
13,T-,#_E,EU POR,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
14,T-,#_E,LMO,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
15,T-,#_E,RMH,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
16,T-,#_E,FUR,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
17,T-,#_E,LOG SRD,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
18,T-,#_E,CPN SRD,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
19,T-,#_E,COR,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
20,T-,#_E,ITA,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
21,T-,#_E,ABR,,t,,,,,,,,,,1.0
22,T-,#_E,CAM,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
23,T-,#_E,PGL,,t,,,,,,,,,,1.0
24,T-,#_E,SCN,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
25,T-,#_E,VEN,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
26,T-,#_E,ARO,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
27,T-,#_E,ROM,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
29,T-,#_E,ARO,+,ts,t͡s̪,26,−,P͡F,D,1.3333333333333333,+,3,−,2.0
30,T-,#_E,ROM,+,ț,t͡s̪,26,−,P͡F,D,1.3333333333333333,+,3,−,2.0
32,T-,#_E,BR POR,+,t,t̠͡ʃ,34,−,P͡F,Ɉ,-0.5,+,3,−,2.0
33,T-,#_E,QBC FRA,+,t,t͡s̪,26,−,P͡F,D,1.3333333333333333,+,3,−,2.0
34,T-,#_E,GAL,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
35,T-,#_E,ASL,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
36,T-,#_E,CAS ESP,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
37,T-,#_E,AND ESP,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
38,T-,#_E,ARG,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
0,T-,"#_{a,O}",BR POR,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
1,T-,"#_{a,O}",AMR ESP,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
2,T-,"#_{a,O}",LAT,+,T,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
3,T-,"#_{a,O}",CAT,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
4,T-,"#_{a,O}",VAL,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
5,T-,"#_{a,O}",BAL,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
6,T-,"#_{a,O}",OCC,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
7,T-,"#_{a,O}",GAS OCC,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
8,T-,"#_{a,O}",EU FRA,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
9,T-,"#_{a,O}",QBC FRA,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
