,treatment,environment,position,Languages,Consonantal +/−,Grapheme,IPA,IPA key,Lateral +/−,Manner of articulation,Place of articulation,Place value,Sibilant +/−,Sonority value,Voice +/−,version
5,T-,#_E,1,BAL,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
6,T-,#_E,1,OCC,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
7,T-,#_E,1,GAS OCC,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
8,T-,#_E,1,EU FRA,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
9,T-,#_E,1,QBC FRA,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
10,T-,#_E,1,WAL,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
11,T-,#_E,1,ARP,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
12,T-,#_E,1,LIG,,t,,,,,,,,,,1.0
13,T-,#_E,1,EU POR,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
14,T-,#_E,1,LMO,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
15,T-,#_E,1,RMH,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
16,T-,#_E,1,FUR,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
17,T-,#_E,1,LOG SRD,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
18,T-,#_E,1,CPN SRD,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
19,T-,#_E,1,COR,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
20,T-,#_E,1,ITA,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
21,T-,#_E,1,ABR,,t,,,,,,,,,,1.0
22,T-,#_E,1,CAM,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
23,T-,#_E,1,PGL,,t,,,,,,,,,,1.0
24,T-,#_E,1,SCN,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
25,T-,#_E,1,VEN,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
26,T-,#_E,1,ARO,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
27,T-,#_E,1,ROM,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
29,T-,#_E,1,ARO,+,ts,t͡s̪,26,−,P͡F,D,1.3333333333333333,+,3,−,2.0
30,T-,#_E,1,ROM,+,ț,t͡s̪,26,−,P͡F,D,1.3333333333333333,+,3,−,2.0
32,T-,#_E,1,BR POR,+,t,t̠͡ʃ,34,−,P͡F,Ɉ,-0.5,+,3,−,2.0
33,T-,#_E,1,QBC FRA,+,t,t͡s̪,26,−,P͡F,D,1.3333333333333333,+,3,−,2.0
34,T-,#_E,1,GAL,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
35,T-,#_E,1,ASL,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
36,T-,#_E,1,CAS ESP,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
37,T-,#_E,1,AND ESP,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
38,T-,#_E,1,ARG,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
0,T-,"#_{a,O}",1,BR POR,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
1,T-,"#_{a,O}",1,AMR ESP,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
2,T-,"#_{a,O}",1,LAT,+,T,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
3,T-,"#_{a,O}",1,CAT,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
4,T-,"#_{a,O}",1,VAL,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
5,T-,"#_{a,O}",1,BAL,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
6,T-,"#_{a,O}",1,OCC,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
7,T-,"#_{a,O}",1,GAS OCC,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
8,T-,"#_{a,O}",1,EU FRA,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
9,T-,"#_{a,O}",1,QBC FRA,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
10,T-,"#_{a,O}",1,WAL,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
11,T-,"#_{a,O}",1,ARP,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
12,T-,"#_{a,O}",1,LIG,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
13,T-,"#_{a,O}",1,EU POR,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
14,T-,"#_{a,O}",1,LMO,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
15,T-,"#_{a,O}",1,RMH,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
16,T-,"#_{a,O}",1,FUR,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
17,T-,"#_{a,O}",1,LOG SRD,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
18,T-,"#_{a,O}",1,CPN SRD,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
19,T-,"#_{a,O}",1,COR,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
20,T-,"#_{a,O}",1,ITA,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
21,T-,"#_{a,O}",1,ABR,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
22,T-,"#_{a,O}",1,CAM,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
23,T-,"#_{a,O}",1,PGL,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
24,T-,"#_{a,O}",1,SCN,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
25,T-,"#_{a,O}",1,VEN,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
26,T-,"#_{a,O}",1,ARO,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
27,T-,"#_{a,O}",1,ROM,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
29,T-,"#_{a,O}",1,QBC FRA,+,t,t͡s̪,26,−,P͡F,D,1.3333333333333333,+,3,−,2.0
30,T-,"#_{a,O}",1,GAL,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
31,T-,"#_{a,O}",1,ASL,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
32,T-,"#_{a,O}",1,CAS ESP,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
33,T-,"#_{a,O}",1,AND ESP,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
34,T-,"#_{a,O}",1,ARG,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
0,D-,#_E,1,BR POR,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
1,D-,#_E,1,AMR ESP,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
2,D-,#_E,1,LAT,+,D,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
3,D-,#_E,1,CAT,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
4,D-,#_E,1,VAL,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
5,D-,#_E,1,BAL,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
6,D-,#_E,1,OCC,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
7,D-,#_E,1,GAS OCC,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
8,D-,#_E,1,EU FRA,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
9,D-,#_E,1,QBC FRA,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
10,D-,#_E,1,WAL,+,d,d̪,6,−,P,D,1.6666666666666667,−,4,+,1.0
